filepath,instrument,source,note,octave
FatBoy/accordion-mp3/G3.mp3,accordion,FatBoy,G,3
FatBoy/accordion-mp3/G4.mp3,accordion,FatBoy,G,4
FatBoy/accordion-mp3/G5.mp3,accordion,FatBoy,G,5
FatBoy/accordion-mp3/G6.mp3,accordion,FatBoy,G,6
FatBoy/accordion-mp3/G7.mp3,accordion,FatBoy,G,7
FatBoy/accordion-mp3/Gb1.mp3,accordion,FatBoy,Gb,1
FatBoy/accordion-mp3/Gb2.mp3,accordion,FatBoy,Gb,2
FatBoy/accordion-mp3/Gb3.mp3,accordion,FatBoy,Gb,3
FatBoy/accordion-mp3/Gb4.mp3,accordion,FatBoy,Gb,4
FatBoy/accordion-mp3/Gb5.mp3,accordion,FatBoy,Gb,5
FatBoy/accordion-mp3/Gb6.mp3,accordion,FatBoy,Gb,6
FatBoy/accordion-mp3/Gb7.mp3,accordion,FatBoy,Gb,7
FatBoy/acoustic_bass-mp3/A0.mp3,acoustic_bass,FatBoy,A,0
FatBoy/acoustic_bass-mp3/A1.mp3,acoustic_bass,FatBoy,A,1
FatBoy/acoustic_bass-mp3/A2.mp3,acoustic_bass,FatBoy,A,2
FatBoy/acoustic_bass-mp3/A3.mp3,acoustic_bass,FatBoy,A,3
FatBoy/acoustic_bass-mp3/A4.mp3,acoustic_bass,FatBoy,A,4
FatBoy/acoustic_bass-mp3/A5.mp3,acoustic_bass,FatBoy,A,5
FatBoy/acoustic_bass-mp3/A6.mp3,acoustic_bass,FatBoy,A,6
FatBoy/acoustic_bass-mp3/A7.mp3,acoustic_bass,FatBoy,A,7
FatBoy/acoustic_bass-mp3/Ab1.mp3,acoustic_bass,FatBoy,Ab,1
FatBoy/acoustic_bass-mp3/Ab2.mp3,acoustic_bass,FatBoy,Ab,2
FatBoy/acoustic_bass-mp3/Ab3.mp3,acoustic_bass,FatBoy,Ab,3
FatBoy/acoustic_bass-mp3/Ab4.mp3,acoustic_bass,FatBoy,Ab,4
FatBoy/acoustic_bass-mp3/Ab5.mp3,acoustic_bass,FatBoy,Ab,5
FatBoy/acoustic_bass-mp3/Ab6.mp3,acoustic_bass,FatBoy,Ab,6
FatBoy/acoustic_bass-mp3/Ab7.mp3,acoustic_bass,FatBoy,Ab,7
FatBoy/acoustic_bass-mp3/B0.mp3,acoustic_bass,FatBoy,B,0
FatBoy/acoustic_bass-mp3/B1.mp3,acoustic_bass,FatBoy,B,1
FatBoy/acoustic_bass-mp3/B2.mp3,acoustic_bass,FatBoy,B,2
FatBoy/acoustic_bass-mp3/B3.mp3,acoustic_bass,FatBoy,B,3
FatBoy/acoustic_bass-mp3/B4.mp3,acoustic_bass,FatBoy,B,4
FatBoy/acoustic_bass-mp3/B5.mp3,acoustic_bass,FatBoy,B,5
FatBoy/acoustic_bass-mp3/B6.mp3,acoustic_bass,FatBoy,B,6
FatBoy/acoustic_bass-mp3/B7.mp3,acoustic_bass,FatBoy,B,7
FatBoy/acoustic_bass-mp3/Bb0.mp3,acoustic_bass,FatBoy,Bb,0
FatBoy/acoustic_bass-mp3/Bb1.mp3,acoustic_bass,FatBoy,Bb,1
FatBoy/acoustic_bass-mp3/Bb2.mp3,acoustic_bass,FatBoy,Bb,2
FatBoy/acoustic_bass-mp3/Bb3.mp3,acoustic_bass,FatBoy,Bb,3
FatBoy/acoustic_bass-mp3/Bb4.mp3,acoustic_bass,FatBoy,Bb,4
FatBoy/acoustic_bass-mp3/Bb5.mp3,acoustic_bass,FatBoy,Bb,5
FatBoy/acoustic_bass-mp3/Bb6.mp3,acoustic_bass,FatBoy,Bb,6
FatBoy/acoustic_bass-mp3/Bb7.mp3,acoustic_bass,FatBoy,Bb,7
FatBoy/acoustic_bass-mp3/C1.mp3,acoustic_bass,FatBoy,C,1
FatBoy/acoustic_bass-mp3/C2.mp3,acoustic_bass,FatBoy,C,2
FatBoy/acoustic_bass-mp3/C3.mp3,acoustic_bass,FatBoy,C,3
