wp_identifier,archive_id,embed_url,sponsors,sponsor_types,subjects,candidates,type,race,cycle,message,air_count,reference_count,market_count,transcript,date_ingested
8403,PolAd_CatherineCortezMasto_jbah8,https://archive.org/embed/PolAd_CatherineCortezMasto_jbah8,"Catherine Cortez Masto for Senate","Candidate Committee","Candidate Biography, Bipartisanship, Criminal Justice, Drugs","Catherine Cortez Masto",campaign,NVS2,2016,pro,185,0,1,,"2016/11/17 5:03:54 UTC"
8404,PolAd_DonaldTrump_kc0en,https://archive.org/embed/PolAd_DonaldTrump_kc0en,"Hillary for America",Multiple,"Nuclear, Candidate Biography, Military, Foreign Policy","Donald Trump",campaign,PRES,2016,con,139,0,1,,"2016/11/17 5:02:52 UTC"
8358,PolAd_DonaldTrump_ncck5,https://archive.org/embed/PolAd_DonaldTrump_ncck5,"Hillary for America",Multiple,"Bankruptcy, Candidate Biography, Workers","Donald Trump",campaign,PRES,2016,con,195,0,2,,"2016/11/14 10:44:42 UTC"
8359,PolAd_Guns_gv0de,https://archive.org/embed/PolAd_Guns_gv0de,"National Rifle Assn",PAC,Guns,,campaign,,,unknown,87,0,3,,"2016/11/14 10:44:15 UTC"
8361,PolAd_Guns_Veterans_Military_z2bvd,https://archive.org/embed/PolAd_Guns_Veterans_Military_z2bvd,"National Rifle Assn",PAC,"Guns, Veterans, Military",,campaign,,,unknown,54,0,3,,"2016/11/14 10:43:51 UTC"
8364,PolAd_RussFeingold_ey28u,https://archive.org/embed/PolAd_RussFeingold_ey28u,"Russ For Wisconsin","Candidate Committee","Medicare, Jobs, Trade","Russ Feingold",campaign,WIS2,2016,unknown,276,0,1,,"2016/11/14 10:43:27 UTC"
8360,PolAd_Crime_Guns_dq6pg,https://archive.org/embed/PolAd_Crime_Guns_dq6pg,"National Rifle Assn",PAC,"Crime, Guns",,campaign,,,unknown,69,0,2,,"2016/11/14 10:42:46 UTC"
8303,PolAd_JohnMccain_005nx,https://archive.org/embed/PolAd_JohnMccain_005nx,"Friends of John McCain","Candidate Committee","Campaign Finance, Military, Ethics, Federal Budget, Lobbying","John McCain",campaign,AZS1,2016,pro,14,0,1,,"2016/11/11 1:53:06 UTC"
8214,PolAd_Iran_Nuclear_ForeignPolicy_xl32g,https://archive.org/embed/PolAd_Iran_Nuclear_ForeignPolicy_xl32g,"45 Committee","Non Profit","Iran, Nuclear, Foreign Policy, Terrorism, Iraq",,campaign,,,unknown,259,0,2,,"2016/11/10 3:14:40 UTC"
8248,PolAd_HillaryClinton_ia316,https://archive.org/embed/PolAd_HillaryClinton_ia316,"America Rising PAC","Super PAC",,"Hillary Clinton",campaign,PRES,2016,con,58,0,10,"And here in Washington, we know distraction. Can you comment on the specific allegations though? Nick. Nick. Nick. Nick is. Nick is the man. I'm sorry. Nick is the man. I gotta let Nick do what he does here. That's his job, so ok guys. Would you like to see more participate in more? I'm not going to get into scheduling. I'm just going to show up when I'm told to show up. I'll be there looking forward to it. Will you sign this please? If you go to the. Go to the end of the line. Why don't you go to the end of the line? Yeah, we'll take care of you.","2016/11/10 3:13:54 UTC"
8271,PolAd_HillaryClinton_kbbe4,https://archive.org/embed/PolAd_HillaryClinton_kbbe4,"Great America PAC","Hybrid Super PAC","Immigration, Candidate Biography","Hillary Clinton",campaign,PRES,2016,con,1,0,1,,"2016/11/10 3:12:21 UTC"
8279,PolAd_RussFeingold_o2986,https://archive.org/embed/PolAd_RussFeingold_o2986,"Reform Wisconsin Fund",PAC,"Terrorism, Iran, Nuclear, Homeland Security","Russ Feingold",campaign,WIS2,2016,con,233,0,1,,"2016/11/10 3:10:10 UTC"
8278,PolAd_RussFeingold_91tcs,https://archive.org/embed/PolAd_RussFeingold_91tcs,"Reform America Fund","Super PAC","Iran, Nuclear, Terrorism","Russ Feingold",campaign,WIS2,2016,con,165,1,1,,"2016/11/10 3:08:06 UTC"
8282,PolAd_RussFeingold_5gi3x,https://archive.org/embed/PolAd_RussFeingold_5gi3x,"National Republican Senatorial Cmte",PAC,"Candidate Biography","Russ Feingold",campaign,WIS2,2016,con,108,0,1,,"2016/11/10 3:07:19 UTC"
8281,PolAd_RonJohnson_RussFeingold_rrb3i,https://archive.org/embed/PolAd_RonJohnson_RussFeingold_rrb3i,"Russ For Wisconsin","Candidate Committee","Income, Taxes, Corporations","Ron Johnson, Russ Feingold",campaign,WIS2,2016,mixed,31,0,1,,"2016/11/10 3:04:35 UTC"
8280,PolAd_RussFeingold_sbs3x,https://archive.org/embed/PolAd_RussFeingold_sbs3x,"Reform America Fund","Super PAC","Jobs, China, Candidate Biography","Russ Feingold",campaign,WIS2,2016,con,350,0,1,,"2016/11/10 3:01:42 UTC"
8283,PolAd_RonJohnson_ydhp5,https://archive.org/embed/PolAd_RonJohnson_ydhp5,"Russ For Wisconsin","Candidate Committee","Social Security, Education, Jobs, Trade","Ron Johnson",campaign,WIS2,2016,con,431,0,1,,"2016/11/10 2:59:22 UTC"
8284,PolAd_RonJohnson_5zj23,https://archive.org/embed/PolAd_RonJohnson_5zj23,"Russ For Wisconsin","Candidate Committee","Social Security, Workers, Retirement, Medicare","Ron Johnson",campaign,WIS2,2016,con,295,0,1,,"2016/11/10 2:58:31 UTC"
8285,PolAd_RonJohnson_g7smu,https://archive.org/embed/PolAd_RonJohnson_g7smu,"Russ For Wisconsin","Candidate Committee","Candidate Biography, Corporations, Income","Ron Johnson",campaign,WIS2,2016,con,348,0,1,,"2016/11/10 2:57:41 UTC"
8286,PolAd_RussFeingold_0mfyi,https://archive.org/embed/PolAd_RussFeingold_0mfyi,"Reform Wisconsin Fund",PAC,"Abortion, Voting Record, Women","Russ Feingold",campaign,WIS2,2016,con,280,0,1,,"2016/11/10 2:56:41 UTC"
8287,PolAd_DonaldTrump_c0h66,https://archive.org/embed/PolAd_DonaldTrump_c0h66,"Donald J Trump For President","Candidate Committee","Candidate Biography, Families","Donald Trump",campaign,PRES,2016,pro,672,0,8,,"2016/11/10 2:56:03 UTC"
8206,PolAd_DonaldTrump_JillStein_HillaryClinton_kw1ui,https://archive.org/embed/PolAd_DonaldTrump_JillStein_HillaryClinton_kw1ui,"Republicans for Clinton","Super PAC",Election,"Donald Trump, Hillary Clinton, Jill Stein",campaign,PRES,2016,mixed,0,0,0,,"2016/11/08 7:08:08 UTC"
8205,PolAd_KellyAyotte_t6w20,https://archive.org/embed/PolAd_KellyAyotte_t6w20,"Friends of Kelly Ayotte",Multiple,"Candidate Biography","Kelly Ayotte",campaign,NHS1,2016,pro,158,0,1,,"2016/11/08 7:01:35 UTC"
8209,PolAd_DonaldTrump_HillaryClinton_gtb5x,https://archive.org/embed/PolAd_DonaldTrump_HillaryClinton_gtb5x,"Republicans for Clinton","Super PAC","Election, Candidate Biography, Women","Donald Trump, Hillary Clinton",campaign,PRES,2016,mixed,0,0,0,,"2016/11/08 6:58:52 UTC"
8199,PolAd_HillaryClinton_7augo,https://archive.org/embed/PolAd_HillaryClinton_7augo,"Victory 2016 Committee","Super PAC","Terrorism, Candidate Biography","Hillary Clinton",campaign,PRES,2016,con,5,0,4,,"2016/11/08 3:24:19 UTC"
8200,PolAd_Economy_GovernmentRegulation_SupremeCourt_9c0wn,https://archive.org/embed/PolAd_Economy_GovernmentRegulation_SupremeCourt_9c0wn,"Thomas Peterffy",Unknown,"Economy, Government regulation, Supreme Court",,campaign,,,unknown,170,0,1,,"2016/11/08 3:20:50 UTC"
8201,PolAd_DonaldTrump_n5rh1,https://archive.org/embed/PolAd_DonaldTrump_n5rh1,"Republicans for Clinton","Super PAC","Candidate Biography, Election","Donald Trump",campaign,PRES,2016,con,0,0,0,,"2016/11/08 3:06:01 UTC"
8195,PolAd_DonaldTrump_9icix,https://archive.org/embed/PolAd_DonaldTrump_9icix,"Hillary for America",Multiple,"Disability, Candidate Biography","Donald Trump",campaign,PRES,2016,con,2,0,1,,"2016/11/07 10:58:16 UTC"
8196,PolAd_Marijuana_Crime_xfrz1,https://archive.org/embed/PolAd_Marijuana_Crime_xfrz1,"Regulate Marijuana Like Alcohol",Unknown,"Marijuana, Crime",,campaign,,,unknown,0,0,0,,"2016/11/07 10:57:15 UTC"
8184,PolAd_HillaryClinton_nx0ea,https://archive.org/embed/PolAd_HillaryClinton_nx0ea,"Hillary for America",Multiple,"women, Income, Debt, Children, Environment","Hillary Clinton",campaign,PRES,2016,pro,422,0,13,,"2016/11/07 7:15:24 UTC"
8183,PolAd_PatToomey_jk74x,https://archive.org/embed/PolAd_PatToomey_jk74x,"Friends of Pat Toomey","Candidate Committee","Public Safety, Children, Education, Guns, Police, Crime, Health Care, Jobs","Pat Toomey",campaign,PAS1,2016,pro,30,0,1,,"2016/11/07 7:13:42 UTC"
8182,PolAd_PatToomey_4wg4b,https://archive.org/embed/PolAd_PatToomey_4wg4b,"Friends of Pat Toomey","Candidate Committee","Guns, Candidate Biography","Pat Toomey",campaign,PAS1,2016,pro,0,0,0,,"2016/11/07 7:12:21 UTC"
8187,PolAd_HillaryClinton_3av1e,https://archive.org/embed/PolAd_HillaryClinton_3av1e,"Hillary for America",Multiple,"Candidate Biography, Economy, Election, Children, Families","Hillary Clinton",campaign,PRES,2016,pro,19,0,11,,"2016/11/07 7:09:52 UTC"
8185,PolAd_HillaryClinton_a8tii,https://archive.org/embed/PolAd_HillaryClinton_a8tii,Future45,"Super PAC","Candidate Biography","Hillary Clinton",campaign,PRES,2016,con,262,0,7,,"2016/11/07 7:00:10 UTC"
8128,PolAd_HillaryClinton_4of4q,https://archive.org/embed/PolAd_HillaryClinton_4of4q,Future45,"Super PAC","Candidate Biography","Hillary Clinton",campaign,PRES,2016,con,82,0,11,,"2016/11/07 4:49:52 UTC"
8129,PolAd_HillaryClinton_i3a2x,https://archive.org/embed/PolAd_HillaryClinton_i3a2x,Future45,"Super PAC","Candidate Biography","Hillary Clinton",campaign,PRES,2016,con,120,0,11,,"2016/11/07 4:48:13 UTC"
8133,PolAd_HillaryClinton_aehb5,https://archive.org/embed/PolAd_HillaryClinton_aehb5,Future45,"Super PAC","Foreign Policy, Terrorism, Candidate Biography","Hillary Clinton",campaign,PRES,2016,con,65,0,12,,"2016/11/07 4:45:23 UTC"
8132,PolAd_HillaryClinton_8cjpd,https://archive.org/embed/PolAd_HillaryClinton_8cjpd,Future45,"Super PAC","Women, Civil Rights, Gays and Lesbians, Foreign Policy, Canddate Biography","Hillary Clinton",campaign,PRES,2016,con,134,0,12,,"2016/11/07 4:43:23 UTC"
8131,PolAd_HillaryClinton_u512n,https://archive.org/embed/PolAd_HillaryClinton_u512n,Future45,"Super PAC","Candidate Biography, Immigration","Hillary Clinton",campaign,PRES,2016,con,0,0,0,,"2016/11/07 4:31:12 UTC"
8130,PolAd_HillaryClinton_nmf0t,https://archive.org/embed/PolAd_HillaryClinton_nmf0t,Future45,"Super PAC","Candidate Biography, Immigration, Jobs","Hillary Clinton",campaign,PRES,2016,con,148,0,2,,"2016/11/07 4:26:56 UTC"
8134,PolAd_HillaryClinton_tfnt8,https://archive.org/embed/PolAd_HillaryClinton_tfnt8,Future45,"Super PAC","Candidate Biography","Hillary Clinton",campaign,PRES,2016,con,97,0,11,,"2016/11/07 4:25:46 UTC"
8135,PolAd_JohnMccain_g3r1x,https://archive.org/embed/PolAd_JohnMccain_g3r1x,"Friends of John McCain","Candidate Committee","Candidate Biography, Public Safety","John McCain",campaign,AZS1,2016,pro,0,0,0,,"2016/11/07 4:24:44 UTC"
8136,PolAd_MarcoRubio_8wpt4,https://archive.org/embed/PolAd_MarcoRubio_8wpt4,"Marco Rubio For Senate 2016","Candidate Committee","Candidate Biography","Marco Rubio",campaign,FLS2,2016,pro,157,0,1,,"2016/11/07 4:11:49 UTC"
8137,PolAd_JoeHeck_lqb5v,https://archive.org/embed/PolAd_JoeHeck_lqb5v,"Friends of Joe Heck, Friends Of Joe Heck","Candidate Committee","Crime, Police, Criminal Justice","Joe Heck",campaign,NVS2,2016,pro,0,0,0,,"2016/11/07 4:07:50 UTC"
8138,PolAd_PatToomey_jy07f,https://archive.org/embed/PolAd_PatToomey_jy07f,"Majority Forward","Non Profit","Guns, Voting Record, Candidate Biography","Pat Toomey",campaign,PAS1,2016,con,0,0,0,,"2016/11/07 4:06:55 UTC"
8140,PolAd_PatToomey_w8c3b,https://archive.org/embed/PolAd_PatToomey_w8c3b,"Majority Forward","Non Profit","Guns, Voting Record, Candidate Biography","Pat Toomey",campaign,PAS1,2016,con,113,0,1,,"2016/11/07 4:06:03 UTC"
8142,PolAd_HillaryClinton_7rax6,https://archive.org/embed/PolAd_HillaryClinton_7rax6,"Rebuilding America Now","Super PAC","Candidate Biography","Hillary Clinton",campaign,PRES,2016,con,0,0,0,,"2016/11/07 3:30:00 UTC"
8141,PolAd_PatToomey_pz37d,https://archive.org/embed/PolAd_PatToomey_pz37d,"Majority Forward","Non Profit","Guns, Voting Record, Candidate Biography","Pat Toomey",campaign,PAS1,2016,con,3,0,1,,"2016/11/07 3:12:23 UTC"
8104,PolAd_HillaryClinton_DonaldTrump_l00sk,https://archive.org/embed/PolAd_HillaryClinton_DonaldTrump_l00sk,"Hillary for America",Multiple,"Candidate Biography","Donald Trump, Hillary Clinton",campaign,PRES,2016,mixed,0,0,0,,"2016/11/05 4:58:55 UTC"
8103,PolAd_DonaldTrump_HillaryClinton_zdce2,https://archive.org/embed/PolAd_DonaldTrump_HillaryClinton_zdce2,"Donald J Trump For President","Candidate Committee","Trade, Immigration, Economy, Foreign Policy, Jobs, Trade, China","Donald Trump, Hillary Clinton",campaign,PRES,2016,mixed,123,0,12,,"2016/11/05 4:58:04 UTC"
8106,PolAd_CatherineCortezMasto_o8ihj,https://archive.org/embed/PolAd_CatherineCortezMasto_o8ihj,"Friends of Joe Heck, Friends Of Joe Heck","Candidate Committee","Candidate Biography, Legal Issues","Catherine Cortez Masto",campaign,NVS2,2016,con,0,0,0,,"2016/11/05 4:51:57 UTC"
8093,PolAd_RonJohnson_x78zk,https://archive.org/embed/PolAd_RonJohnson_x78zk,"Senate Majority PAC","Super PAC","Jobs, Trade, Corporations, Taxes","Ron Johnson",campaign,WIS2,2016,con,312,0,1,,"2016/11/04 9:44:04 UTC"
8097,PolAd_Marijuana_Crime_hbe75,https://archive.org/embed/PolAd_Marijuana_Crime_hbe75,"The Campaign To Regulate Marijuana Like Alcohol",Unknown,"Marijuana, Crime",,campaign,,,unknown,0,0,0,,"2016/11/04 9:43:13 UTC"
8096,PolAd_HillaryClinton_dc0du,https://archive.org/embed/PolAd_HillaryClinton_dc0du,"45 Committee","Non Profit","Candidate Biography, Income, Legal Issues","Hillary Clinton",campaign,PRES,2016,con,213,0,4,,"2016/11/04 9:42:27 UTC"
8095,PolAd_DonaldTrump_3uhjb,https://archive.org/embed/PolAd_DonaldTrump_3uhjb,"Republicans for Clinton","Super PAC","Candidate Biography, Workers, Health Care, Housing, Economy","Donald Trump",campaign,PRES,2016,con,0,0,0,,"2016/11/04 9:41:35 UTC"
8094,PolAd_DonaldTrump_ib2is,https://archive.org/embed/PolAd_DonaldTrump_ib2is,"Republicans for Clinton","Super PAC","Candidate Biography, Taxes, Workers, Campaign Finance","Donald Trump",campaign,PRES,2016,con,0,0,0,,"2016/11/04 9:39:50 UTC"
8086,PolAd_ChuckGrassley_3pw5k,https://archive.org/embed/PolAd_ChuckGrassley_3pw5k,"Grassley Cmte","Candidate Committee","Energy, Jobs, Technology","Chuck Grassley",campaign,IAS1,2016,pro,54,0,1,,"2016/11/04 6:35:21 UTC"
8085,PolAd_RichardBurr_4lnfr,https://archive.org/embed/PolAd_RichardBurr_4lnfr,"Women Vote!","Super PAC","Voting Record, Candidate Biography, Military, Lobbying","Richard Burr",campaign,NCS2,2016,con,52,0,1,,"2016/11/04 6:34:21 UTC"
8087,PolAd_CatherineCortezMasto_4yoh4,https://archive.org/embed/PolAd_CatherineCortezMasto_4yoh4,"Friends of Joe Heck, Friends Of Joe Heck","Candidate Committee","Candidate Biography, Criminal Justice","Catherine Cortez Masto",campaign,NVS2,2016,con,229,0,1,,"2016/11/04 6:33:21 UTC"
8088,PolAd_RonJohnson_2ofor,https://archive.org/embed/PolAd_RonJohnson_2ofor,"Ron Johnson for Senate",Multiple,"Candidate Biography","Ron Johnson",campaign,WIS2,2016,pro,164,0,1,,"2016/11/04 6:32:33 UTC"
8048,PolAd_Election_Taxes_Children_duf8j,https://archive.org/embed/PolAd_Election_Taxes_Children_duf8j,"Republican National Cmte",PAC,"Election, Taxes, Children, Education, Religion, Abortion, Jobs",,campaign,,,unknown,5,0,1,,"2016/11/04 3:31:56 UTC"
8049,PolAd_Jobs_Taxes_Education_q3zdx,https://archive.org/embed/PolAd_Jobs_Taxes_Education_q3zdx,"Republican National Cmte",PAC,"Jobs, Taxes, Education, Children, Jobs, Religion, Abortion, Small Business",,campaign,,,unknown,40,0,2,,"2016/11/04 3:20:19 UTC"
8052,PolAd_HillaryClinton_rj13k,https://archive.org/embed/PolAd_HillaryClinton_rj13k,"45 Committee","Non Profit","Poverty, Health Care, Candidate Biography, Terrorism","Hillary Clinton",campaign,PRES,2016,con,553,0,4,,"2016/11/04 3:19:29 UTC"
8051,PolAd_Marijuana_Crime_Taxes_q3tp4,https://archive.org/embed/PolAd_Marijuana_Crime_Taxes_q3tp4,"The Campaign To Regulate Marijuana Like Alcohol",Unknown,"Marijuana, Crime, Taxes, Education, Children, Police",,campaign,,,unknown,586,0,1,,"2016/11/04 3:18:35 UTC"
8068,PolAd_PatrickMurphy_17wi9,https://archive.org/embed/PolAd_PatrickMurphy_17wi9,"Marco Rubio For Senate 2016","Candidate Committee","Taxes, Iran, Terrorism, Nuclear, Jobs, Candidate Biography","Patrick Murphy",campaign,FLS2,2016,con,616,0,1,,"2016/11/04 3:17:22 UTC"
8071,PolAd_HillaryClinton_7k3xi,https://archive.org/embed/PolAd_HillaryClinton_7k3xi,"Donald J Trump For President","Candidate Committee","Iran, Terrorism, Nuclear, Foreign Policy, Candidate Biography","Hillary Clinton",campaign,PRES,2016,con,1198,0,12,,"2016/11/04 3:13:48 UTC"
8072,PolAd_HillaryClinton_6a8vc,https://archive.org/embed/PolAd_HillaryClinton_6a8vc,"Donald J Trump For President","Candidate Committee","Candidate Biography, Legal Issues","Hillary Clinton",campaign,PRES,2016,con,538,0,11,,"2016/11/04 3:11:47 UTC"
8073,PolAd_DonaldTrump_h024r,https://archive.org/embed/PolAd_DonaldTrump_h024r,"Hillary for America",Multiple,"Military, Veterans, Disability, Women, Civil Rights, Immigration, Nuclear, Children","Donald Trump",campaign,PRES,2016,con,18,0,4,,"2016/11/04 3:09:03 UTC"
8074,PolAd_KellyAyotte_26o9y,https://archive.org/embed/PolAd_KellyAyotte_26o9y,"Priorities USA Action","Super PAC","Candidate Biography, Disability, Women, Veterans, Nuclear","Kelly Ayotte",campaign,NHS1,2016,con,65,0,1,,"2016/11/04 3:07:52 UTC"
8041,PolAd_DonaldTrump_u17s5,https://archive.org/embed/PolAd_DonaldTrump_u17s5,"Donald J Trump For President","Candidate Committee","Taxes, Children, Police, Criminal Justice","Donald Trump",campaign,PRES,2016,pro,395,0,14,,"2016/11/03 5:48:22 UTC"
8013,PolAd_BrianFitzpatrick_DonaldTrump_q4el1,https://archive.org/embed/PolAd_BrianFitzpatrick_DonaldTrump_q4el1,"House Majority PAC","Super PAC","Women, Children, Candidate Biography, Disability","Brian Fitzpatrick, Donald Trump",campaign,PA08,2016,con,345,0,1,,"2016/11/03 5:47:36 UTC"
8029,PolAd_FrederickLavergne_v8sdr,https://archive.org/embed/PolAd_FrederickLavergne_v8sdr,"Tom Macarthur for Congress","Candidate Committee","Candidate Biography","Frederick Lavergne",campaign,NJ03,2016,con,211,0,1,,"2016/11/03 5:41:49 UTC"
8032,PolAd_DarrylGlenn_cq0af,https://archive.org/embed/PolAd_DarrylGlenn_cq0af,"Bennet for Colorado","Candidate Committee","Climate Change, Education, Abortion, Women, Health Care","Darryl Glenn",campaign,COS1,2016,con,223,0,1,,"2016/11/03 5:41:03 UTC"
8037,PolAd_KellyAyotte_yued1,https://archive.org/embed/PolAd_KellyAyotte_yued1,"Senate Majority PAC","Super PAC","Abortion, Women, Health Care, Voting Record","Kelly Ayotte",campaign,NHS1,2016,con,348,0,1,,"2016/11/03 5:39:52 UTC"
8036,PolAd_RobPortman_ir7fq,https://archive.org/embed/PolAd_RobPortman_ir7fq,"Portman for Senate","Candidate Committee","Workers, Jobs, China","Rob Portman",campaign,OHS2,2016,pro,288,0,1,,"2016/11/03 5:33:16 UTC"
8035,PolAd_RichardBurr_DonaldTrump_20hf4,https://archive.org/embed/PolAd_RichardBurr_DonaldTrump_20hf4,"Deborah Ross For Senate, Deborah Ross for Senate","Candidate Committee","Candidate Biography, Guns","Donald Trump, Richard Burr",campaign,NCS2,2016,con,0,0,0,,"2016/11/03 5:32:36 UTC"
8028,PolAd_Marijuana_Taxes_StateFinances_mb50m,https://archive.org/embed/PolAd_Marijuana_Taxes_StateFinances_mb50m,"Yes on 64",Unknown,"Marijuana, Taxes, State Finances, Education, Jobs",,campaign,,,unknown,34,0,1,,"2016/11/02 11:08:08 UTC"
8006,PolAd_KatieMcginty_4tup8,https://archive.org/embed/PolAd_KatieMcginty_4tup8,"National Horizon","Super PAC","Candidate Biography, Ethics, Nuclear, Iran, Terrorism","Katie McGinty",campaign,PAS1,2016,con,346,0,1,,"2016/11/02 10:08:15 UTC"
8012,PolAd_Marijuana_PublicHealth_Taxes_4nu4d,https://archive.org/embed/PolAd_Marijuana_PublicHealth_Taxes_4nu4d,"Yes on 64",Unknown,"Marijuana, Public Health, Taxes, Drugs",,campaign,,,unknown,85,0,1,,"2016/11/02 10:07:19 UTC"
8011,PolAd_Marijuana_Children_Education_5ucza,https://archive.org/embed/PolAd_Marijuana_Children_Education_5ucza,"The Campaign To Regulate Marijuana Like Alcohol",Unknown,"Marijuana, Children, Education",,campaign,,,unknown,0,0,0,,"2016/11/02 10:06:13 UTC"
8010,PolAd_DonaldTrump_HillaryClinton_cy3mp,https://archive.org/embed/PolAd_DonaldTrump_HillaryClinton_cy3mp,"Hillary for America",Multiple,"Candidate Biography, Women, Children","Donald Trump, Hillary Clinton",campaign,PRES,2016,mixed,311,0,8,"and I was a Republican forAir every one of them. I was rationalizing Donald Trump's behaviors until... I heard that tape, that was the last straw. I don't want my granddaughter thinking it's okay to be... treated that way, and my grandson growing up thinking... that's how you should treat women. That scares me, that scares me a lot. So Hillary's got my vote. We don't see eye to eye on everything, but she's strong, and I respect her. And she's someone that my grandkids can respect too. Im Hillary Clinton and I approve this message.","2016/11/02 10:04:46 UTC"
8009,PolAd_TedStrickland_DonaldTrump_RobPortman_84om3,https://archive.org/embed/PolAd_TedStrickland_DonaldTrump_RobPortman_84om3,"Strickland for Senate","Candidate Committee","Candidate Biography, Veterans, Civil Rights, Disability, Immigration","Donald Trump, Rob Portman, Ted Strickland",campaign,OHS2,2016,mixed,0,0,0,,"2016/11/02 10:03:59 UTC"
8008,PolAd_KatieMcginty_PatToomey_klk3c,https://archive.org/embed/PolAd_KatieMcginty_PatToomey_klk3c,"Katie McGinty for Senate","Candidate Committee","Candidate Biography, Families","Katie McGinty, Pat Toomey",campaign,PAS1,2016,mixed,588,0,1,"restaurant hat a neighborhood favorite - a place for a good, family meal. She juggled customers, cooks, waitresses - and never complained. My dad was a police officer walking his beat. I learned from both what it means to be honest, to work hard, and love family. Big banks, Wall Street, special interests - that's who Pat Toomey's with. In the Senate, I'll work for you and your family. I'm Katie McGinty, and I approve this message.","2016/11/02 10:02:58 UTC"
8014,PolAd_DonaldTrump_x64gv,https://archive.org/embed/PolAd_DonaldTrump_x64gv,"Priorities USA Action","Super PAC","Disability, Women, Candidate Biography, Military, Immigration, Civil Rights","Donald Trump",campaign,PRES,2016,con,429,0,3,">> ACCUWEATHER IS COMING UP. of her...wherever. He is not a person who is equipped in temperament, judgment or character to lead our troops. Donald Trump has created a toxic atmosphere pitting one group against another. He's a Mexican. Claiming a person can't do the job because of their race is sort of like the textbook definition of a racist comment. Priorities USA Action is responsible for the content of this advertising.","2016/11/02 10:02:15 UTC"
8016,PolAd_KatieMcginty_2aeyh,https://archive.org/embed/PolAd_KatieMcginty_2aeyh,"Friends of Pat Toomey","Candidate Committee","Taxes, Immigration, Ethics","Katie McGinty",campaign,PAS1,2016,con,119,0,1,,"2016/11/02 10:00:52 UTC"
8005,PolAd_KatieMcginty_73xgj,https://archive.org/embed/PolAd_KatieMcginty_73xgj,"Prosperity for Pennsylvania","Super PAC","Candidate Biography, Ethics","Katie McGinty",campaign,PAS1,2016,con,371,0,1,,"2016/11/02 9:54:41 UTC"
7797,PolAd_DeborahRoss_opq7q,https://archive.org/embed/PolAd_DeborahRoss_opq7q,"Senate Leadership Fund","Super PAC","Criminal Justice, Crime, Veterans, Candidate Biography","Deborah Ross",campaign,NCS2,2016,con,39,0,1,,"2016/11/02 8:09:05 UTC"
7796,PolAd_MarcoRubio_5ou3c,https://archive.org/embed/PolAd_MarcoRubio_5ou3c,"Club for Growth Action","Super PAC","Voting Record, Federal Budget, Taxes, Education, Families","Marco Rubio",campaign,FLS2,2016,pro,0,0,0,,"2016/11/02 8:08:15 UTC"
7795,PolAd_KatieMcginty_2cify,https://archive.org/embed/PolAd_KatieMcginty_2cify,"Club for Growth Action","Super PAC","Taxes, Lobbying, Drugs, State Finances, Corporations","Katie McGinty",campaign,PAS1,2016,con,0,0,0,,"2016/11/02 8:07:23 UTC"
7799,PolAd_EvanBayh_h7ash,https://archive.org/embed/PolAd_EvanBayh_h7ash,"Senate Leadership Fund","Super PAC","Economy, Lobbying, Financial Regulation, Debt","Evan Bayh",campaign,INS2,2016,con,0,0,0,,"2016/11/02 8:06:31 UTC"
7798,PolAd_PatrickMurphy_wnbu0,https://archive.org/embed/PolAd_PatrickMurphy_wnbu0,"Senate Leadership Fund","Super PAC","Candidate Biography","Patrick Murphy",campaign,FLS2,2016,con,0,0,0,,"2016/11/02 8:05:45 UTC"
7801,PolAd_RoyCooper_015l1,https://archive.org/embed/PolAd_RoyCooper_015l1,"Freedom Partners Action Fund","Super PAC","Economy, Jobs, Health Care, Taxes, Voting Record, Income, Gas Prices, State Budget","Roy Cooper",campaign,,,con,0,0,0,,"2016/11/02 8:04:55 UTC"
7800,PolAd_RoyCooper_jw9xb,https://archive.org/embed/PolAd_RoyCooper_jw9xb,"Freedom Partners Action Fund","Super PAC","Health Care, Taxes, Voting Record","Roy Cooper",campaign,,,con,0,0,0,,"2016/11/02 8:04:04 UTC"
7794,PolAd_DonaldTrump_u92g6,https://archive.org/embed/PolAd_DonaldTrump_u92g6,"Hillary for America",Multiple,"Candidate Biography, Nuclear, Foreign Policy, Military","Donald Trump",campaign,PRES,2016,con,36,0,1,,"2016/11/02 8:03:19 UTC"
7792,PolAd_MichaelBennet_w89wl,https://archive.org/embed/PolAd_MichaelBennet_w89wl,"Bennet for Colorado","Candidate Committee","Public Service, Bipartisanship, Education, Energy, Taxes, Environment","Michael Bennet",campaign,COS1,2016,pro,271,0,1,,"2016/11/02 7:57:51 UTC"
7810,PolAd_RussFeingold_RonJohnson_lu08b,https://archive.org/embed/PolAd_RussFeingold_RonJohnson_lu08b,"NRA Institute for Legislative Action","Non Profit","Guns, Voting Record","Ron Johnson, Russ Feingold",campaign,WIS2,2016,mixed,0,0,0,,"2016/11/02 7:54:42 UTC"
7811,PolAd_RichardBurr_DonaldTrump_DeborahRoss_2uoxf,https://archive.org/embed/PolAd_RichardBurr_DonaldTrump_DeborahRoss_2uoxf,"People for the American Way","Non Profit","Immigration, Civil Rights, Crime, Drugs, Voting Record, Children","Deborah Ross, Donald Trump, Hillary Clinton, Richard Burr",campaign,NCS2,2016,mixed,0,0,0,,"2016/11/02 7:53:32 UTC"
