wp_identifier,archive_id,embed_url,sponsors,sponsor_types,subjects,candidates,type,race,cycle,message,air_count,reference_count,market_count,transcript,date_ingested
1973,PolAd_CatherineCortezMasto_t9je8,https://archive.org/embed/PolAd_CatherineCortezMasto_t9je8,"National Republican Senatorial Cmte",PAC,"Candidate Biography, Ethics","Catherine Cortez Masto",campaign,NVS2,2016,con,0,0,0,"Traveling the world with Catherine Cortez Masto. As Attorney General, Cortez Masto took 36 lavish trips in just five years. Trips to Mexico, Argentina, Napa Valley, Coronado, Israel and Switzerland. All bought and paid for by special interest groups. 36 trips. Taxpayer-funded four weeks off each year. Pretty good gig if you can get it. NRSC is responsible for the content of this advertising. ///// A viajar el mundo con Catherine Cortez Masto. Como fiscal general, Cortez Masto tomó 36 viajes lujosos en solo cinco años. Viajes a México, a Argentina, a Valle de Napa, a Coronado, a Israel y a Suiza. Todos pagados por grupos de intereses especiales. Que buen trabajo cuando lo puedes conseguir! A viajar el mundo con Catherine Cortez Masto. NRSC es responsable por el contenido de este anuncio. partial / EN only","2016/02/25 3:34:08 UTC"
1950,PolAd_BernieSanders_me1cr,https://archive.org/embed/PolAd_BernieSanders_me1cr,"Bernie 2016","Candidate Committee","Veterans, Health Care","Bernie Sanders",campaign,PRES,2016,pro,174,0,2,"They served our country. Our country should serve them better. Bernie Sanders cracked the gridlock with John McCain to help clean up the mess at the V.A. and strengthen veterans' health care. Bernie Sanders has always stood with our veterans, and that's why he'll never rush to put our men and women in harm's way. Judgement. Integrity. Bernie.","2016/02/25 3:09:07 UTC"
1959,PolAd_HillaryClinton_j4xm5,https://archive.org/embed/PolAd_HillaryClinton_j4xm5,"Hillary for America",Multiple,"Economy, Environment, Immigration, Corporations","Hillary Clinton",campaign,PRES,2016,pro,170,0,4,"I do not believe we live in a single-issue country. The economy is rigged in favor of the top. Americans haven't had a raise in 15 years. But I want to go further. Whether it's poison in the water... hard-working immigrant families living in fear... racism holding people back... Wall Street and big financial interests along with drug companies, insurance companies, big oil companies... The indifference, the negligence. That's what I want to take on. I'm running for President to root out all of these barriers... because I think America can only live up to its potential when we make sure that every American has a chance to live up to his or her potential. I'm Hillary Clinton, and I approve this message.","2016/02/25 3:07:49 UTC"
1960,PolAd_ReneeEllmers_5mngi,https://archive.org/embed/PolAd_ReneeEllmers_5mngi,"Club for Growth Action","Super PAC","Debt, Economy","Renee Ellmers",campaign,NC02,2016,con,208,0,1,"Congresswoman Renee Ellmers. She seems nice enough, but in just five years, she's become part of the problem in Washington. Ellmers voted to increase our national debt by trillions. She voted for massive corporate giveaways. She even fleeced us by wasting our money on projects like the sheep industry improvement center in Maine. Renee Ellmers. Way too liberal for North Carolina. Club for Growth action is responsible for the content of this advertising.","2016/02/25 3:06:42 UTC"
1961,PolAd_WarrenDavidson_tjfq3,https://archive.org/embed/PolAd_WarrenDavidson_tjfq3,"Club for Growth Action","Super PAC","Military, Jobs","Warren Davidson",campaign,OH08,2016,pro,377,0,1,"Meet Warren Davidson. He's not your typical candidate for Congress. Davidson's not a political insider. He served our country with distinction as an Army Ranger. Started a local business that now employs hundreds. Davidson's a conservative citizen who knows Washington won't be fixed by career politicians. Now that's a breath of fresh air. Warren Davidson. The conservative fighter for Congress. Club for Growth Action is responsible for the content of this advertising.","2016/02/25 3:05:59 UTC"
1962,PolAd_WarrenDavidson_ks3zv,https://archive.org/embed/PolAd_WarrenDavidson_ks3zv,"Davidson for Congress, Davidson For Congress","Candidate Committee","Military, Jobs, Health Care, Religion, Guns","Warren Davidson",campaign,OH08,2016,pro,13,0,1,,"2016/02/25 3:05:03 UTC"
1965,PolAd_JohnKasich_e0fh6,https://archive.org/embed/PolAd_JohnKasich_e0fh6,"Kasich for America","Candidate Committee","Taxes, Jobs, Job Accomplishments, Government regulation","John Kasich",campaign,PRES,2016,pro,1,1,1,"20 million Americans are out of work. That's unacceptable. But John Kasich won't stop until that number is zero. As governor, Kasich delivered the largest tax cut in the nation and over four hundred thousand new jobs have been created through his leadership. As President, Kasich will cut taxes, freeze new regulations and reshore American jobs. So punch the clock. Take that to the bank. America, let's go to work. John Kasich. I'm John Kasich and I approved this message.","2016/02/25 3:02:53 UTC"
1966,PolAd_BernieSanders_ht3uo,https://archive.org/embed/PolAd_BernieSanders_ht3uo,"Bernie 2016","Candidate Committee","Children, Government regulation","Bernie Sanders",campaign,PRES,2016,pro,3,0,1,"Jane and I have four kids, and we have seven very beautiful grandchildren. Can you imagine being a mother, seeing your own child's intellectual development deteriorate in front of your very eyes? If the local government cannot protect those children, if the state government cannot protect those children, then the federal government better get in and do the right thing. I'm Bernie Sanders and I approved this message.","2016/02/25 3:00:50 UTC"
1967,PolAd_BernieSanders_bo1x5,https://archive.org/embed/PolAd_BernieSanders_bo1x5,"Bernie 2016","Candidate Committee","Financial Regulation","Bernie Sanders",campaign,PRES,2016,pro,0,0,0,"1933. FDR passes Glass-Steagall, breaking up big banks. Wall Street attacks him relentlessly. For over 60 years, it prevented the kind of risky behavior that led to the financial crisis. 1999. Glass-Steagall is repealed. Banks become too big to fail. Now Wall Street is attacking Bernie Sanders because he'll break up the banks like FDR. Wall Street showers Washington with contributions, so they answer to Wall Street. Only one candidate is fully funded by you. I'm Bernie Sanders and I approved this message.","2016/02/25 3:00:25 UTC"
1951,PolAd_WillieWilson_qvr3r,https://archive.org/embed/PolAd_WillieWilson_qvr3r,"Willie Wilson 2016","Candidate Committee",Education,"Willie Wilson",campaign,PRES,2016,pro,29,0,2,"I'm Willie Wilson, candidate for President, and I approved this message. Willie Wilson wants free K through college education and free three meals-a-day for students. That's leadership we can believe in. Vote Willie Wilson in the Democratic primary February 27th.","2016/02/24 8:34:07 UTC"
1926,PolAd_HillaryClinton_m78be,https://archive.org/embed/PolAd_HillaryClinton_m78be,"American Crossroads","Super PAC","Criminal Justice, Crime","Hillary Clinton",campaign,PRES,2016,con,5,0,1,"With respect to the crime bill, this bill would've put more police on the street, would have locked up violent offenders so they never could get out again, would have given more prison construction money. We need end-to-end reform in our criminal justice system. Locked up violent offenders so they never could get out again. We've seen the toll it takes on families torn apart by excessive incarceration. Would have given more prison construction money. Been homes shattered by prisons. This bill would've put more police on the street. We've seen a significant increase in police involvement in school discipline. The kinds of kids that are called super-predators. We have to bring them to heal. In my faith, we believe in second chances. Three strikes and you are out.","2016/02/24 4:38:20 UTC"
1929,PolAd_KathleenMatthews_hczh2,https://archive.org/embed/PolAd_KathleenMatthews_hczh2,"Kathleen Matthews For Congress","Candidate Committee",Guns,"Kathleen Matthews",campaign,MD08,2016,pro,243,0,1,"Too many nights, I led the 11 o'clock news with stories of gun violence. And like many of you, my family lived through the beltway sniper crisis. In Congress, I'll fight to expand background checks on guns and ammunition, ban assault weapons, and mandate gun safety locks, because too many kids die from accidental shootings. Let's show the NRA we're not afraid of them. As Democrats, as Americans, as parents. I'm Kathleen Matthews and I approve this message.","2016/02/24 4:32:25 UTC"
1930,PolAd_KathleenMatthews_s3nnd,https://archive.org/embed/PolAd_KathleenMatthews_s3nnd,"Kathleen Matthews For Congress","Candidate Committee","Women, Abortion, Public Health","Kathleen Matthews",campaign,MD08,2016,pro,420,0,1,"Imagine paying 20% more for a cup of coffee just because you're a woman. So why does Congress think it's okay that women get paid 20% less than a man for doing the same job? I'll fight for pay equity, to protect planned parenthood, choice for women, and expand paid and family leave. Now some politicians will belittle this as a women's agenda. More proof that we just need more women in Congress. I'm Kathleen Matthews and I approve this message.","2016/02/24 4:31:36 UTC"
1914,PolAd_TedCruz_BenCarson_g0v2n,https://archive.org/embed/PolAd_TedCruz_BenCarson_g0v2n,"Progress Texas","Non Profit","Campaign Finance, Negative Campaigning","Ben Carson, Ted Cruz",campaign,PRES,2016,con,0,0,0,"The Ted Cruz campaign is coming under a bit of fire today over a controversial mailer. Iowa's Secretary of State is blasting Ted Cruz's campaign for a controversial mailer. The allegation is basically that they scared people into, into caucusing. Is Dr. Ben Carson accusing the Cruz campaign of playing dirty tricks to win the Iowa caucus? But at the same time, rule of law matters.","2016/02/24 1:04:25 UTC"
1873,PolAd_HillaryClinton_ht0m9,https://archive.org/embed/PolAd_HillaryClinton_ht0m9,"Hillary for America",Multiple,"Economy, Health Care","Hillary Clinton",campaign,PRES,2016,pro,154,1,1,"Wall Street should never be allowed to wreck Main Street again. Americans haven't had a raise in fifteen years. But I want to go further. Whether it's racism holding people back. Big financial Interests. Drug companies. Insurance companies. Big oil companies. The indifference. The negligence. That's what I want to take on. To root out all of these barriers and together we will make progress. I'm Hillary Clinton and I approved this message.","2016/02/24 1:00:53 UTC"
1878,PolAd_RichardBurr_cfko9,https://archive.org/embed/PolAd_RichardBurr_cfko9,"Richard Burr Cmte","Candidate Committee","Economy, Taxes, Government regulation, Jobs, Candidate Biography, Voting Record","Richard Burr",campaign,NCS2,2016,pro,0,0,0,"He's down-home North Carolina. Home nearly every weekend. Listening. Working for us. Been named a hero for taxpayers. You see, Richard Burr's willing to cut spending while others been more. Believes growing the economy and creating jobs starts with limiting government. Supporting hard-working people. He's tight with our tax dollars. Heck, that's just common sense. That's the North Carolina way. I'm Richard Burr and I approved this message because together we can change tomorrow.","2016/02/24 12:59:32 UTC"
1876,PolAd_JohnKasich_JebBush_xgu7o,https://archive.org/embed/PolAd_JohnKasich_JebBush_xgu7o,"New Day For America","Super PAC","Negative Campaigning, Candidate Biography","Jeb Bush, John Kasich",campaign,PRES,2016,mixed,28,0,3,"Jeb Bush's campaign is cratered. Now he just slings mud. But it's made no difference. The State endorsed John Kasich, saying voters should ignore the blather of candidates without real credentials to lead the country. The USA Today poll said Kasich was the most likely Republican to beat Hillary Clinton, beating her by 11 points. John Kasich is presidential. New Day For America is responsible for the content of this advertising.","2016/02/24 12:58:38 UTC"
1875,PolAd_RichardBurr_skb3f,https://archive.org/embed/PolAd_RichardBurr_skb3f,"Richard Burr Cmte","Candidate Committee","Terrorism, Homeland Security, Job Accomplishments","Richard Burr",campaign,NCS2,2016,pro,215,0,1,"The threat of terrorism is real. Obama said ISIS was contained, but they continue to attack at will. Obama's strategies are weakening America. As chairman of the Senate Intelligence Committee, Richard Burr is fighting for the intelligence and tools needed to protect America, and to change our strategy on terrorism to make America strong at home and abroad. That's leadership. That's conservative. Richard Burr. Trusted conservative leadership for a stronger America. I'm Richard Burr and I approved this message.","2016/02/24 12:57:47 UTC"
1885,PolAd_MarcoRubio_JebBush_c122v,https://archive.org/embed/PolAd_MarcoRubio_JebBush_c122v,"DNC Services Corp",PAC,"Economy, Abortion, Climate Change, Health Care","Jeb Bush, Marco Rubio",campaign,PRES,2016,con,0,0,0,"I was skeptical. I've had their matches before. Santorum, Huckabee, Christie. They've all left me hanging. I'm still looking for that perfect match. Someone who hates Obamacare just as much as I do. With gop-Harmony.com, your search is over. Just take our short quiz and gopHarmony will match you up with a candidate that is as out of touch with reality as you are, or more. I wanted to find my match easily, without the constant disappointment. I also don't want to let Mexicans and Muslims in the country. I have no idea how the economy works and that's okay because neither does anyone on gopHarmony. We measure over a dozen metrics to determine which uninformed GOP candidate matches with your views. I matched with Marco Rubio on gopHarmony because I believe Barack Obama knows exactly what he's doing. Exactly what he's doing. You know, I want a candidate who is as excited to melt my heart as they are to melt the polar ice caps. If you're the kind of person who other people don't like being around, then gopHarmony is perfect. You'll find a slew of candidates exactly like you. We knew we found the perfect match when we heard those three magic words. Defund Planned Parenthood. gop-Harmony.com. Please clap.","2016/02/24 12:57:17 UTC"
1886,PolAd_DonaldTrump_JebBush_TedCruz_owqw3,https://archive.org/embed/PolAd_DonaldTrump_JebBush_TedCruz_owqw3,"DNC Services Corp",PAC,"Candidate Biography, Job Accomplishments","Ben Carson, Donald Trump, Jeb Bush, Marco Rubio, Ted Cruz",campaign,PRES,2016,con,0,0,0,"I have a good life. I have a great family. And I built a great business. Perhaps I shouldn't be saying this, but I'm of the old school. I have to do what's right. I have to do what's right. Knock the crap out of him, would you. Don't give him his coat. Keep his coat. Maybe he should have been roughed up. Alright, get him out. Take him out. As a world-class businessman, that's what you have to do. Donald Trump has many admirable qualities and traits. I like Donald Trump. He's bold. He's brash. When people get to know me, they get to like me. Donald's absolutely right. Okay, so I, I just want that on the record. They all love me, let's put it that way. They all love me. I think it's a, it's a net positive for everybody.","2016/02/24 12:56:50 UTC"
1887,PolAd_RichardBurr_2aqmh,https://archive.org/embed/PolAd_RichardBurr_2aqmh,"Richard Burr Cmte","Candidate Committee","Debt, Jobs, Economy, Environment, Taxes","Richard Burr",campaign,NCS2,2016,pro,0,0,0,"I'm Richard Burr and I approved this message. Six. Nope, be there before five. No, six trillion dollars is what Elaine Marshall wants in new government spending. We're already fourteen trillion in debt. And look what that got us. High unemployment. A bad economy. Elaine Marshall just doesn't get it. And Marshall support a cap-and-trade energy tax. I'm for a clean environment. But her plan kills jobs. And raises utility rates. Richard Burr wants an energy policy that creates jobs. Richard Burr has got it right. For all of us. Got that right.","2016/02/24 12:55:48 UTC"
1919,PolAd_SupremeCourt_GaysAndLesbians_CivilRights_nigo4,https://archive.org/embed/PolAd_SupremeCourt_GaysAndLesbians_CivilRights_nigo4,"DNC Services Corp",PAC,"Supreme Court, Gays and Lesbians, Civil Rights",,campaign,,,unknown,0,0,0,"LGBT Americans know better than most that the Supreme Court can have a huge impact on our lives. Just last year the court made the right to marry the law of the land. But we're not done. We're not done. There's still plenty at stake for the LGBT community that could be decided by the Court. It's still legal for private employers to fire someone for being gay in 28 states and for being trans in 30 states. Just recently a federal judge ruled that a transgender student was not protected against discrimination at his school under Title Nine of the Civil Rights Act. Another judge ruled that sexual orientation was not protected by current employment discrimination law under Title Seven. All of these issues and more could make their way to the Supreme Court in the coming years. That's why it's so critical for our community that President Obama's nominees are confirmed by the Senate. Whoever President Obama appoints could provide the critical vote on legislation impacting our lives.","2016/02/24 12:54:58 UTC"
1921,PolAd_MarcoRubio_JebBush_DonaldTrump_gm1fq,https://archive.org/embed/PolAd_MarcoRubio_JebBush_DonaldTrump_gm1fq,"DNC Services Corp",PAC,"Islam, Terrorism","Ben Carson, Donald Trump, Jeb Bush, Marco Rubio, Ted Cruz",campaign,PRES,2016,con,1,0,1,"We are at war with radical Islam. Radical Islamic terrorism. We do have a problem with radical Muslims. Radical Islamic jihadists. Radical Islamic terrorism. We do not fight against Islam. We fight against evil. The war against terrorism is not a war against Muslims. Nor is it a war against Arabs. It's a war against evil people who conduct crimes against innocent people. That's not what Islam is all about. Islam is peace.","2016/02/24 12:54:15 UTC"
1923,PolAd_MarcoRubio_JebBush_RandPaul_lai7y,https://archive.org/embed/PolAd_MarcoRubio_JebBush_RandPaul_lai7y,"DNC Services Corp",PAC,"Gays and Lesbians, Civil Rights","Chris Christie, Jeb Bush, John Kasich, Marco Rubio, Rand Paul, Rick Perry",campaign,PRES,2016,con,0,0,0,"There is no federal constitutional right to same-sex marriage. Gay marriage? No. A constitutional amendment is the right thing, to once and for all make it clear that marriage should be between a man and a woman. We didn't have to call it marriage, which offends myself and a lot of people. I support the federal marriage amendment. I am not a fan of same-sex marriage. Tell you, there's behavior I don't approve of and I don't approve of the gay lifestyle.","2016/02/24 12:53:44 UTC"
1922,PolAd_DonaldTrump_s9vvy,https://archive.org/embed/PolAd_DonaldTrump_s9vvy,"DNC Services Corp",PAC,"Candidate Biography","Donald Trump",campaign,PRES,2016,con,1,0,1,"We're asking Republican National Committee Chairman Reince Priebus what do you make of this Donald Trump phenomenon? But I think it's a, it's a net positive for everybody. When Mexico sends its people. They're bringing drugs, they bringing crime, they're rapists. You've called women you don't like fat pigs, dogs, slobs and disgusting animals. What I say is what I say. He's a war hero cause he was captured. I like people that weren't captured, okay? I hate to tell you. It's a net positive for everybody.","2016/02/24 12:34:11 UTC"
1877,PolAd_RichardBurr_9mu4p,https://archive.org/embed/PolAd_RichardBurr_9mu4p,"Richard Burr Cmte","Candidate Committee","Health Care, Government regulation, Washington, D.C.","Richard Burr",campaign,NCS2,2016,pro,0,0,0,"I'm Richard Burr and I approved this message. Washington's become disconnected from the American people. Nothing happens in this country, especially big things, without the American people. The wrong place for government to be is inbetween the people and their doctor. Health care reforms should be towards creating a system where individuals should have the ability to negotiate their own health care. The wrong thing to do is to create one system and ask everybody to play in it. Washington believes that it's the solution, when what the American people expect is a common sense approach.","2016/02/23 8:34:09 UTC"
